disclosure_id,institution_name,transaction_type,transaction_amount,transaction_date,reporting_region,ssn,email,created_at
8e546a7b-a64c-425d-bb8f-8e6e58fb1db2,Hall and Sons,CASH,29314.84,2025-04-03,S,354-25-3608,ssmith@example.com,2026-02-25T19:12:53
cae80e67-7844-456f-b242-b28087de2166,Medina-Arnold,CASH,133391.26,2025-04-12,W,414-28-9782,moorerobert@example.net,2026-02-25T19:12:53
8426bae4-73c7-4d14-ba0a-e0c1a73dcb6e,Ray-Whitney,CHECK,238957.28,2025-08-15,NE,570-41-1227,chad61@example.org,2026-02-25T19:12:53
2f39b44a-0c4d-4bdc-afc3-b22d4de1abae,Love PLC,CASH,107051.26,2025-07-09,MW,736-43-2440,imcbride@example.org,2026-02-25T19:12:53
e3e3cc5e-4892-4373-a6f6-724a5cfcb47a,Hendrix-Brown,WIRE,150101.6,2026-01-05,S,339-11-5364,elliottkathleen@example.net,2026-02-25T19:12:53
6587ca0d-a1dd-46ed-b7a1-c7a345ad3f5c,"Freeman, Dawson and Sims",CHECK,239050.23,2025-07-29,W,338-15-4315,ngonzalez@example.net,2026-02-25T19:12:53
713efb9c-aaf8-45d6-b424-8d34596ed7b2,Wong PLC,CHECK,181841.61,2025-11-01,S,772-49-9205,kruegerstephanie@example.com,2026-02-25T19:12:53
7bd2ac4b-4d33-4ad6-b6cc-667944c94b33,Robinson PLC,ACH,61260.05,2025-04-30,NE,868-95-5517,acordova@example.net,2026-02-25T19:12:53
20f3d8dd-6c19-4141-9ef0-18c91c801a16,Sherman Ltd,CARD,112843.58,2025-10-28,MW,718-86-5660,hernandezmikayla@example.net,2026-02-25T19:12:53
10c65f8d-30b7-475a-95b5-b8c759c44d08,Wright-Dickerson,CHECK,177051.53,2025-12-18,MW,002-11-8691,angela44@example.com,2026-02-25T19:12:53
9a90648e-210c-4a56-9f98-873629edd4bc,Collins Inc,ACH,212826.73,2026-02-08,S,784-12-0614,maxwelljay@example.com,2026-02-25T19:12:53
3acb28aa-cd0f-4aa6-9574-bc4028b52cd0,Campbell-Espinoza,ACH,133907.9,2025-12-21,MW,445-02-6531,qgallagher@example.net,2026-02-25T19:12:53
960bc8d7-464b-4ee5-bd2d-813baa78274d,Peterson LLC,CASH,27919.87,2025-02-27,S,502-93-2662,jhess@example.org,2026-02-25T19:12:53
0fd7ea60-a3cb-4cc8-8947-c6fb67d4b641,Gordon-Carter,CASH,40826.48,2025-10-27,S,599-97-9925,michelle80@example.org,2026-02-25T19:12:53
ceb92564-10be-4214-a4cc-09ef0d7b40b9,"Roman, Smith and Harris",CASH,238703.37,2025-08-11,W,272-76-2129,scottwashington@example.org,2026-02-25T19:12:53
e95f10d3-feb1-41a5-a825-f41c394a9b66,"Rivera, Williams and Ross",ACH,4018.79,2025-07-04,S,340-01-0674,rayjames@example.org,2026-02-25T19:12:53
e0eb1fbb-4921-40c4-be3d-f3ad15be05ed,"Parker, Beck and Moreno",CHECK,15740.8,2026-02-20,MW,741-34-6880,stacy85@example.org,2026-02-25T19:12:53
6be5b0a9-ea24-4df3-83f7-1e11714c3e72,Green-Olson,ACH,144728.25,2025-07-21,W,004-41-3613,nathanwagner@example.com,2026-02-25T19:12:53
eaca507e-ae09-4ffb-bef1-378f53e96f9a,"Martinez, Lin and Mccormick",WIRE,157027.97,2026-02-13,W,373-68-0893,brianvega@example.net,2026-02-25T19:12:53
caf35b74-8370-4602-a481-f74b49adb032,Perez LLC,CHECK,83350.62,2025-05-16,W,073-40-5941,ylopez@example.net,2026-02-25T19:12:53
8fa556d5-8a0b-4e4f-a3dd-387b85c0921c,Murphy LLC,WIRE,102571.23,2025-04-07,S,851-04-4144,lwashington@example.org,2026-02-25T19:12:53
654e1dee-34e8-49c6-9e78-890d15dc1009,Allen-Sullivan,CARD,138367.88,2025-03-05,W,718-20-6310,juanpalmer@example.org,2026-02-25T19:12:53
6b954b06-c2d9-4c53-ae03-9c620c33f71b,Jones-Vasquez,CHECK,78519.29,2025-11-30,NE,646-61-7758,xhill@example.net,2026-02-25T19:12:53
78c7feed-7838-4e75-8898-ee2eb5dfdbab,"Jones, Ferguson and Clark",ACH,60100.03,2025-06-08,MW,805-24-3342,mwatson@example.net,2026-02-25T19:12:53
2bf370d6-679e-4cee-95f6-a338a8245822,Robles-Lara,WIRE,148850.5,2026-01-16,W,769-51-5141,williamrobinson@example.com,2026-02-25T19:12:53
b9612e66-cc31-4b08-ba81-efa98656a337,White Group,WIRE,139135.2,2025-11-10,MW,113-06-3560,tonyafox@example.net,2026-02-25T19:12:53
8f36fb78-4b06-4201-a362-b1bafbc2d2ef,"Vance, Robles and Wright",CASH,40400.94,2025-05-16,NE,093-41-2827,dale24@example.net,2026-02-25T19:12:53
4ac1e63a-19c6-49f4-b099-6b9f67243a6a,Ford and Sons,CHECK,154330.99,2025-09-19,NE,030-35-2375,hensleyamber@example.com,2026-02-25T19:12:53
c1d2666d-f741-47cf-8733-66611a9fb359,Sanchez-Guerrero,CHECK,154165.48,2025-03-28,NE,473-78-8378,kyle73@example.org,2026-02-25T19:12:53
90ae4cd3-4808-4045-8ceb-d579a159236d,Walters and Sons,WIRE,208726.35,2025-03-06,MW,236-87-7681,christinerogers@example.com,2026-02-25T19:12:53
41cb6b17-647b-48b5-9f9c-8c6eeba58374,Clark-Hess,CHECK,217827.83,2025-10-18,W,068-87-5039,davismichael@example.org,2026-02-25T19:12:53
8a3879c8-85f3-44b1-a14a-d995aba9e936,Michael-Nelson,CASH,30789.9,2026-02-09,S,126-48-2782,susan08@example.net,2026-02-25T19:12:53
739afaa7-834c-4bf1-aabe-8a0181c981b8,Kennedy-Little,WIRE,47214.01,2025-04-06,W,865-41-3058,lisaallen@example.org,2026-02-25T19:12:53
24b3c56d-0fa4-4855-b9e3-a1b484e926d7,"Garcia, Price and Mitchell",CHECK,33586.71,2026-01-14,S,873-27-9448,eric42@example.net,2026-02-25T19:12:53
4494aab9-494e-4fab-8202-ef2eab10daaf,Floyd Group,CASH,220779.54,2025-07-04,MW,742-87-4844,brian24@example.org,2026-02-25T19:12:53
26026c6b-c943-491e-8c98-7b79ff98d6f6,"Dean, Casey and Howard",CHECK,119081.93,2025-06-15,NE,042-26-7691,david61@example.net,2026-02-25T19:12:53
841d60cd-d121-4640-980a-108e68ca23cd,Villa Inc,CASH,172166.03,2025-07-12,W,475-81-8194,timothy17@example.net,2026-02-25T19:12:53
91e5d57b-a3e2-4a30-86ee-b2f53b2d9c08,Edwards PLC,CHECK,129154.67,2025-12-21,W,743-21-0414,rmonroe@example.net,2026-02-25T19:12:53
794bd3b7-d164-4f59-b224-2809dcef3593,"Rivera, Knox and Garcia",WIRE,192474.29,2025-11-22,MW,693-68-0386,carpenterdavid@example.com,2026-02-25T19:12:53
51f93cd0-ead9-4cab-8e60-722a1be79d09,"Turner, Smith and Brandt",WIRE,127600.06,2025-08-17,S,740-36-8601,fitzgeraldchristopher@example.net,2026-02-25T19:12:53
f15badae-e907-4364-b32d-7ec4e993e8be,Brown PLC,CHECK,52682.45,2025-07-24,NE,163-39-5686,michelle95@example.com,2026-02-25T19:12:53
b7949b25-a108-46c7-bf40-482cae08eb6e,Berger-Baxter,CASH,52676.86,2025-11-05,W,467-84-2920,richard27@example.com,2026-02-25T19:12:53
43bd1ae0-49b7-495f-bc11-fe4474a7196c,Sullivan Group,WIRE,105388.35,2025-05-31,NE,027-22-0570,johnnymorales@example.com,2026-02-25T19:12:53
1b33b5d9-1c33-4bb7-ade9-b1d607404bbc,"Herman, Peters and Acevedo",CHECK,30192.73,2026-01-06,MW,121-24-8580,ltaylor@example.net,2026-02-25T19:12:53
bbaa5c0c-66ad-4641-8f10-3555c877935f,"Jordan, Blake and Schaefer",CHECK,75744.89,2025-11-29,NE,513-74-5018,thomaswilliams@example.net,2026-02-25T19:12:53
26b1983b-6fa7-4794-9c60-ed4fff5d71f3,"Myers, Foster and Aguilar",CARD,229485.54,2025-10-12,NE,466-90-9531,lisajordan@example.org,2026-02-25T19:12:53
5ce4632d-834b-4ff4-98b7-06db1e749e8a,Kelly Group,CARD,208620.09,2025-08-15,S,522-56-1304,marilyn06@example.org,2026-02-25T19:12:53
6db840de-5202-4f0e-82f0-1b39c05edfc9,Willis and Sons,CHECK,65674.28,2025-09-13,MW,350-52-6469,crawfordsara@example.net,2026-02-25T19:12:53
1bbc830f-2548-4c69-9a43-a88dd4f66a9a,"Young, James and Miller",WIRE,175574.84,2025-10-20,NE,706-47-1212,loriferguson@example.org,2026-02-25T19:12:53
a7b2d02e-c8b9-486b-a72a-131e76d9cb66,"Murphy, Patrick and Harris",WIRE,156450.68,2025-08-04,MW,563-14-8537,amygarcia@example.net,2026-02-25T19:12:53
b15af992-e93a-4eea-9183-fb84154c685d,Oconnor-Scott,CARD,101736.08,2025-07-23,MW,062-69-8418,shane16@example.net,2026-02-25T19:12:53
40501ebc-0550-4dbd-8b27-e9913a5fd870,"Rogers, Johnson and Hernandez",CHECK,21242.17,2025-08-24,MW,868-90-4226,jlowe@example.net,2026-02-25T19:12:53
696be66b-3f2a-49f9-9db3-57c54b66f748,Nelson-Woods,WIRE,75191.33,2025-08-15,NE,190-44-7657,hscott@example.net,2026-02-25T19:12:53
8666601f-2f5a-4169-8be4-7947777586b7,Matthews-Norris,CASH,27568.57,2025-04-17,S,876-99-2081,glasserica@example.org,2026-02-25T19:12:53
2a5a9255-ac36-4a0f-9c41-a0d6d0524918,Pratt-Thomas,CHECK,57209.76,2025-12-04,W,364-52-0838,alan85@example.net,2026-02-25T19:12:53
d31db807-bce6-4638-99ba-af50ddab38be,"Harris, Atkinson and Taylor",WIRE,175615.74,2025-11-01,MW,842-97-0665,xmoore@example.org,2026-02-25T19:12:53
616a5853-3a9e-43a6-ba62-cc195081a429,"Lee, Michael and Smith",WIRE,9590.78,2025-05-16,S,215-23-2100,simmonsnancy@example.org,2026-02-25T19:12:53
c41aae02-68db-44ac-9d03-d6e02dc0324c,Lee Ltd,CARD,211186.66,2025-10-16,MW,224-38-6532,taylor90@example.org,2026-02-25T19:12:53
c7500af9-573a-4ed4-b098-fa9905f0f05f,Adams Inc,WIRE,212309.49,2026-01-10,MW,052-33-6755,ejohnson@example.net,2026-02-25T19:12:53
49f3ceb6-2002-41a7-92aa-72d15c1b2679,"Martinez, Romero and Humphrey",ACH,125006.76,2025-06-13,NE,853-32-3758,simpsondouglas@example.org,2026-02-25T19:12:53
2824d786-084f-45c6-8e26-4b5eb3562bc2,Mendoza-Mercado,CASH,128172.23,2025-12-28,W,027-38-9168,patrickadams@example.net,2026-02-25T19:12:53
1747ca6d-17ab-4507-bb1e-5de8b0e9e769,Day-Green,CHECK,40362.02,2025-10-21,MW,521-98-7388,victortorres@example.net,2026-02-25T19:12:53
f7733188-605e-450b-90ed-1224be0e63d6,Manning-Lawson,CASH,126714.5,2025-12-06,W,136-67-1457,roberto41@example.org,2026-02-25T19:12:53
6289d084-c637-4416-9397-a992ad53fc91,"Johnson, Wilson and Craig",CARD,238425.78,2025-05-15,MW,533-60-3781,barbararamos@example.com,2026-02-25T19:12:53
dcf69ee2-2ecd-464e-97f4-0afea53f635a,Mcclain-Ward,CASH,231030.18,2026-01-27,S,853-94-0491,jenniferreed@example.com,2026-02-25T19:12:53
bf4ae7f0-0e90-450d-8afc-d787a7729397,Johns LLC,WIRE,154756.26,2025-09-02,S,402-93-7028,martinezmitchell@example.org,2026-02-25T19:12:53
d998ff4f-30c4-482d-a35c-13c98af4634b,Powell PLC,CARD,153945.05,2025-03-07,W,193-92-5119,smithdanielle@example.net,2026-02-25T19:12:53
be744fd7-cd0a-4572-b600-457ca4fea0e3,Cook-King,WIRE,157247.27,2025-10-30,NE,542-07-8083,nicole34@example.net,2026-02-25T19:12:53
2af6983e-661f-4327-aecf-f5b95cb14488,"Davis, Navarro and Gregory",WIRE,147383.57,2025-12-03,MW,616-92-1924,aarmstrong@example.org,2026-02-25T19:12:53
2793643f-a44c-4458-a03f-ca762979c52a,"Johnson, Wilson and Stewart",WIRE,231968.72,2026-01-19,NE,633-80-7306,annhiggins@example.net,2026-02-25T19:12:53
3fc0b83a-b055-4194-99e6-295b736ce545,Mason-Warren,CHECK,98153.35,2025-05-03,NE,298-15-3270,antonio35@example.net,2026-02-25T19:12:53
55bbb824-b359-4c3d-8a71-69c36dbf454a,Prince-Valdez,WIRE,126046.74,2025-09-04,W,342-92-0961,wardkevin@example.com,2026-02-25T19:12:53
3c34b50c-b5ef-4d80-80d8-5048a5ed336d,Greene-Butler,CARD,135160.9,2025-04-07,MW,003-57-7876,hbutler@example.com,2026-02-25T19:12:53
6baa0c66-ea76-4ac1-badd-797acf013ee9,Jackson-Larson,CHECK,185603.56,2025-06-20,S,431-51-6558,snelson@example.com,2026-02-25T19:12:53
8d75fc45-db6e-4a42-a9c7-6f1a53559a9a,"Rodriguez, Morris and Stevens",CASH,153860.81,2025-12-06,MW,413-57-9750,stucker@example.net,2026-02-25T19:12:53
fc42d485-ef1b-4a4d-b256-4981c1c5bf55,"Gaines, Dominguez and Gray",CHECK,10043.88,2025-10-22,MW,608-20-4281,barrettmarie@example.com,2026-02-25T19:12:53
d1c21264-2563-4a7b-9c81-0637c31d2ca8,Rogers-Edwards,CARD,226902.4,2025-12-29,MW,176-69-3215,brandyjones@example.org,2026-02-25T19:12:53
11f0b9bd-da5a-46a8-a9a7-bdc4c6643d52,"Butler, Franklin and Velazquez",CASH,169149.32,2025-08-25,W,302-53-6782,phillipsryan@example.org,2026-02-25T19:12:53
e62d1938-ad4b-4ff5-b089-9957ab66b1f0,"Moore, Carter and Williams",CASH,77677.84,2025-06-21,NE,283-98-1249,randy53@example.org,2026-02-25T19:12:53
21dc8ac4-0355-47d9-bd4c-9b1f0d60c62c,"Robinson, Hill and Gonzales",WIRE,160427.16,2025-06-23,MW,398-96-1594,anthony86@example.com,2026-02-25T19:12:53
781921d8-2ad8-467a-84c7-633ebadae167,Mosley-Dunlap,CHECK,42779.5,2025-09-02,W,309-01-3924,danielleadams@example.com,2026-02-25T19:12:53
74cf9432-dceb-44c2-9d5c-a2a9beeed326,Blackburn Ltd,CARD,79593.42,2026-01-29,NE,306-10-8021,hoopermichelle@example.net,2026-02-25T19:12:53
9581cfbe-afca-4950-826f-6b72671990cb,Hill-Lang,CASH,42789.55,2025-11-05,W,320-41-9204,dickersonmelanie@example.org,2026-02-25T19:12:53
191d337c-2f9d-4988-a995-633c388ff1b9,"Green, Allen and Miller",CHECK,58117.72,2026-01-16,W,880-19-0720,bgallegos@example.org,2026-02-25T19:12:53
135d30fe-0031-4842-9e82-13b94d5d9822,Evans LLC,CHECK,33257.36,2025-07-08,MW,891-09-8564,zamorajoel@example.org,2026-02-25T19:12:53
6f3c11da-5286-47b2-aa65-0997817d6d11,"Neal, Perry and Bond",CHECK,140401.77,2025-05-24,S,365-51-9908,beckmargaret@example.net,2026-02-25T19:12:53
e0508962-2855-4707-adff-81c5d04a21b9,Sampson-Gomez,CASH,150627.3,2025-11-02,MW,344-16-5389,martinjohn@example.org,2026-02-25T19:12:53
e5e8ada8-7001-4b4f-a002-5dcbc28ad538,"Lee, Williams and Garcia",ACH,59020.37,2025-12-05,MW,326-18-9005,hancocksarah@example.net,2026-02-25T19:12:53
